name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,int64,Ano,(1),no,br_bd_diretorios_data_tempo.ano:ano,year,no,,Ano
id_area_avaliacao,string,Código da Área de Avaliação,(1),no,,,no,,Código da Área
area_avaliacao,string,Área de Avaliação,(1),no,,,no,,Área de Avaliação
id_ies,string,Código da Instituição,(1),no,br_bd_diretorios_brasil.instituicao_ensino_superior:id_ies,,no,,Código da IES
nome_ies,string,Nome da Instituição,(1),no,br_bd_diretorios_brasil.instituicao_ensino_superior:nome,,no,,Nome da IES*
sigla_ies,string,Sigla da Instituição,(1),no,br_bd_diretorios_brasil.instituicao_ensino_superior:sigla_ies,,no,,Sigla da IES*
tipo_categoria_administrativa,string,Categoria Administrativa,(1),no,,,no,,Categoria Administrativa
tipo_organizacao_academica,string,Organização Acadêmica,(1),no,,,no,,Organização Acadêmica
tipo_grau_academico,,Grau Acadêmico,(1),no,,,no,,Grau Acadêmico
id_curso,string,Código do Curso de Graduação,(1),no,br_bd_diretorios_brasil.curso_superior:id_curso,,no,,Código do Curso
sigla_uf,string,Sigla da Unidade Federativa do curso,(1),no,br_bd_diretorios_brasil.uf:sigla,,no,,Sigla da UF**
id_municipio,string,Código do Município do curso,(1),no,br_bd_diretorios_brasil.municipio:id_municipio,,no,,Código do Município**
tipo_modalidade_ensino,string,Modalidade de ensino,(1),no,,,no,,Modalidade de Ensino
(excluido),,,,,,,,,Município do Curso**
quantidade_concluintes_inscritos,int64,Quantidade de alunos concluintes que se inscreveram na avaliação,(1),no,,person,no,,Nº de Concluintes Inscritos
quantidade_conluintes_participantes,int64,Quantidade de alunos concluintes que participaram da avaliação,(1),no,,person,no,,Nº  de Concluintes Participantes
nota_bruta_formacao_geral,float64,Nota Bruta na Formação Geral,(1),no,,,no,,Nota Bruta - FG
nota_padronizada_formacao_geral,float64,Nota Padronizada na Formação Geral,(1),no,,,no,,Nota Padronizada - FG
nota_bruta_componente_especifico,float64,Nota Bruta no Componente Específico,(1),no,,,no,,Nota Bruta - CE
nota_padronizada_componente_especifico,float64,Nota Padronizada no Componente Específico,(1),no,,,no,,Nota Padronizada - CE
conceito_enade,float64,Conceito Enade (contínuo),(1),no,,,no,,Conceito Enade (Contínuo)
faixa_conceito_enade,int64,Conceito Enade (faixa),(1),no,,,no,,Conceito Enade (Faixa)
