Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,,43,feathers,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,,43,specimens,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,IS,,700,,specimens,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XX,IS,,,700,specimens,,S,W
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,,,4,feathers,,S,U
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,,,2,feathers,,S,W
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,IT,SR,,,208,feathers,,Q,W
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,NL,SR,,,5,feathers,,P,W
2016,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,MX,,,80,specimens,,S,W
2016,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,DE,PE,,,20,hair,,S,W
2016,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,DE,PE,,70,50,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AT,CH,XX,1,,carvings,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,710,700,specimens,g,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,3,baleen,,P,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,2,baleen,,P,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NL,NO,GL,,1438,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,500,500,specimens,g,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,RU,US,RU,,20,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,baleen,,P,W
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,BR,,60,specimens,,S,W
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,HS,,5,,skin pieces,g,S,X
2016,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,25,skin pieces,,S,W
2016,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CV,,,1,baleen,,S,U
2016,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CV,,,10,specimens,g,S,U
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,864,meat,kg,T,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,IS,20,,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,20,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,10,,skin pieces,g,S,X
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,,199000,meat,kg,T,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,KR,CN,,1,,baleen,,Q,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,KR,CN,,15,,bodies,,Q,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CA,,,77,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,20,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,ES,1,,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1,,meat,,P,W
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,333,,bodies,,S,X
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,45,,skin pieces,g,S,X
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,5,,skins,g,S,W
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,1,,baleen,,P,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,CL,,63,,specimens,,S,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,90,,bodies,,S,X
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,100,,skin pieces,g,S,X
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,FK,2,,specimens,,S,W
