Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,MX,BR,,4,,live,,B,C
2018,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,skin pieces,,H,F
2018,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,,1,trophies,,H,F
2018,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,RU,ZA,,1,1,trophies,,H,F
2018,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ZA,US,,,1,trophies,,H,F
2018,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,RU,,,2,skulls,,H,C
2018,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,US,,,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,3,5,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BG,ZA,,2,,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,bodies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,skin pieces,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,ZA,,1,,skulls,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,3,4,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,2,2,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,7,2,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,3,3,trophies,,H,C
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,7,5,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,4,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,1,,skins,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,12,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,1,5,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,1,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,4,5,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SA,ZA,,,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,1,2,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,2,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US,MX,,,16,trophies,,H,C
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US,ZA,,,1,trophies,,H,F
2018,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,US,,,1,trophies,,H,F
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CN,US,,1,,trophies,,H,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,1,,trophies,,H,F
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DZ,QA,,,50,live,Number of specimens,B,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RU,AE,,2,,trophies,,H,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,2,2,trophies,,H,F
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,SA,ZA,,1,,unspecified,,H,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,SE,AE,,,1,skins,,H,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,SE,AE,,,1,skulls,,H,C
2018,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,SE,AE,,1,,trophies,,H,C
2018,I,Ovis gmelini,Mammalia,Artiodactyla,Bovidae,Ovis,AU,US,,,1,trophies,,H,I
2018,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,TH,PH,,12,16,live,,B,C
2018,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,,,6,live,,B,C
2018,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,HR,RS,,,2,skeletons,,E,F
2018,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,LK,TH,,10,,live,,B,C
