Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2024,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,PA,,,18,specimens,,S,W
2024,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,PA,,,508,specimens,,S,W
2024,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DK,PK,,,1,trophies,Number of specimens,H,W
2024,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,FR,PK,,,1,trophies,Number of specimens,H,W
2024,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,,1,trophies,Number of specimens,H,W
2024,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,6,trophies,Number of specimens,H,W
2024,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,US,PA,,,76,specimens,,S,W
2024,I,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,CD,,,14,specimens,,S,W
2024,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DK,CO,,,27,skins,,T,D
2024,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CN,LA,,,94,specimens,,S,C
2024,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,KH,LA,,,2,live,,S,C
2024,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,LA,JP,,1,,live,,Q,C
2024,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MW,MY,MW,17,,bones,,S,W
2024,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MW,MY,MW,30,,ivory carvings,,S,W
2024,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MY,MW,,,17,bones,,S,W
2024,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MY,MW,,,30,ivory carvings,,S,W
2024,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PA,CM,,2,,tusks,,H,W
